Título;Gênero;Categoria de Gênero;Pré estreia;Temporadas;Quantidade de temporadas;quantidade de episodios;Duração;Duração mínima;Duração máxima;Status;Ativa;Catálogo;Idioma;dt_inclusao;Data de Alteracao
Best.Worst.Weekend.Ever.;Comedy;comedy;2023-04-27;8 episodes;0;8;22–28 min.;22;28;Miniseries;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Turn Up Charlie;Comedy;comedy;2023-04-27;1 season, 8 episodes;1;8;25–29 min.;25;29;Pending;1;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
0.03;Science fiction;science-fiction;2023-04-27;3 seasons, 26 episodes;3;26;38–51 min.;38;51;Pending;1;ForeignLanguage;Portuguese;2021-03-16;2023-04-27T17:33:17.694Z
Llama Llama;childrens-animation;childrens-animation;2023-04-27;1 season, 15 episodes;1;15;24 min.;24;24;Renewed;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Orange Is the New Black;Comedy-drama;comedy-drama;2023-04-27;6 seasons, 78 episodes;6;78;50–92 min.;50;92;Renewed;1;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
Super Monsters;childrens-animation;childrens-animation;2023-04-27;2 seasons, 16 episodes;2;16;22–23 min.;22;23;Renewed;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Alexa & Katie;Sitcom;sitcom;2023-04-27;2 seasons, 23 episodes;2;23;22–30 min.;22;30;Renewed;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Salt, Fat, Acid, Heat;Travel documentary;travel,documentary;2023-04-27;4 episodes;0;4;40–48 min.;40;48;Miniseries;0;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Chambers;Teen psychological thriller;teen,psychological,thriller;2023-04-27;1 season, 10 episodes;1;10;38–51 min.;38;51;Ended;0;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
7 Seeds;Science fiction;science-fiction;2023-04-27;a ser anunciado;0;0;TBA;0;0;Pending;1;Anime;English;2021-03-16;2023-04-27T17:33:17.694Z
Hilda;childrens-animation;childrens-animation;2023-04-27;1 season, 13 episodes;1;13;24 min.;24;24;Renewed;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Suburra: Blood on Rome;Crime drama;crime,drama;2023-04-27;2 seasons, 18 episodes;2;18;42–62 min.;42;62;Renewed;1;ForeignLanguage;Italian;2021-03-16;2023-04-27T17:33:17.694Z
Boca Juniors Confidential;Docu-series;docu-series;2023-04-27;1 season, 4 episodes;1;4;40–44 min.;40;44;Pending;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
The Joel McHale Show with Joel McHale;Comedy;comedy;2023-04-27;2 parts, 19 episodes;0;19;22–28 min.;22;28;Ended;0;VarietyTalk;English;2021-03-16;2023-04-27T17:33:17.694Z
Conversations with a Killer: The Ted Bundy Tapes;True crime;true,crime;2023-04-27;4 episodes;0;4;51–74 min.;51;74;Miniseries;0;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Dragons: Race to the Edge;childrens-animation;childrens-animation;2023-04-27;6 seasons, 78 episodes;6;78;22–23 min.;22;23;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Chef's Table: France;Culinary art;culinary,art;2023-04-27;1 season, 4 episodes;1;4;41–54 min.;41;54;Ended;0;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Larry Charles: The Dangerous World of Comedy;Docu-series;docu-series;2023-04-27;1 season, 4 episodes;1;4;51–66 min.;51;66;Pending;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Tidying Up with Marie Kondo;Reality show;reality,show;2023-04-27;1 season, 8 episodes;1;8;35–47 min.;35;47;Pending;1;Reality;English;2021-03-16;2023-04-27T17:33:17.694Z
The Break with Michelle Wolf;Late-night;late-night;2023-04-27;1 season, 10 episodes;1;10;27 min.;27;27;Renewed;1;VarietyTalk;English;2021-03-16;2023-04-27T17:33:17.694Z
Godless;Western;western;2023-04-27;7 episodes;0;7;41–80 min.;41;80;Miniseries;0;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
The Mechanism;Crime drama;crime,drama;2023-04-27;2 seasons, 16 episodes;2;16;39–55 min.;39;55;Pending;1;ForeignLanguage;Portuguese;2021-03-16;2023-04-27T17:33:17.694Z
High Seas;Mystery period drama;mystery,period,drama;2023-04-27;1 season, 8 episodes;1;8;39–49 min.;39;49;Renewed;1;ForeignLanguage;Spanish;2021-03-16;2023-04-27T17:33:17.694Z
Iron Fist;Martial arts/business drama;martial,arts,business,drama;2023-04-27;2 seasons, 23 episodes;2;23;49–61 min.;49;61;Ended;0;Marvel;English;2021-03-16;2023-04-27T17:33:17.694Z
The Hollow;childrens-animation;childrens-animation;2023-04-27;1 season, 10 episodes;1;10;24 min.;24;24;Renewed;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Formula 1: Drive to Survive;Sport;sport;2023-04-27;1 season, 10 episodes;1;10;27–41 min.;27;41;Pending;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Pinky Malinky;childrens-animation;childrens-animation;2023-04-27;2 parts, 44 episodes;0;44;12–23 min.;12;23;Renewed;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Selection Day;Drama;drama;2023-04-27;1 season, 12 episodes;1;12;19–28 min.;19;28;Pending;1;ForeignLanguage;Hindi;2021-03-16;2023-04-27T17:33:17.694Z
Awake: The Million Dollar Game;Reality television;reality,television;2023-04-27;1 season, 8 episodes;1;8;35–41 min.;35;41;Pending;1;Reality;English;2021-03-16;2023-04-27T17:33:17.694Z
Family Business;Comedy;comedy;2023-04-27;a ser anunciado;0;0;29 min.;0;0;Pending;1;ForeignLanguage;French;2021-03-16;2023-04-27T17:33:17.694Z
13 Reasons Why: Beyond the Reasons;Interview;interview;2023-04-27;2 seasons, 2 episodes;2;2;29–67 min.;29;67;Pending;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
Norm Macdonald Has a Show;Talk show;talk,show;2023-04-27;1 season, 10 episodes;1;10;26–35 min.;26;35;Pending;1;VarietyTalk;English;2021-03-16;2023-04-27T17:33:17.694Z
The Politician;Comedy;comedy;2023-04-27;a ser anunciado;0;0;TBA;0;0;Renewed;1;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
The Dragon Prince;childrens-animation;childrens-animation;2023-04-27;2 seasons, 18 episodes;2;18;25–27 min.;25;27;Renewed;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Dogs;Docu-series;docu-series;2023-04-27;1 season, 6 episodes;1;6;50–53 min.;50;53;Renewed;1;DocuSeries;English;2021-03-16;2023-04-27T17:33:17.694Z
The Curious Creations of Christine McConnell;Cooking show;cooking,show;2023-04-27;1 season, 6 episodes;1;6;24–29 min.;24;29;Ended;0;Reality;English;2021-03-16;2023-04-27T17:33:17.694Z
It's Bruno!;Comedy;comedy;2023-04-27;1 season, 8 episodes;1;8;12–21 min.;12;21;Pending;1;Comedy;English;2021-03-16;2023-04-27T17:33:17.694Z
Richie Rich;Sitcom;sitcom;2023-04-27;2 seasons, 21 episodes;2;21;21–23 min.;21;23;Ended;0;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Free Rein;Teen drama;teen,drama;2023-04-27;2 seasons, 20 episodes;2;20;25–34 min.;25;34;Renewed;1;Children;English;2021-03-16;2023-04-27T17:33:17.694Z
Leila;Drama;drama;2023-04-27;1 season, 6 episodes;1;6;40–54 min.;40;54;Pending;1;ForeignLanguage;Hindi;2021-03-16;2023-04-27T17:33:17.694Z
First and Last;Reality;reality;2023-04-27;1 season, 6 episodes;1;6;38–43 min.;38;43;Pending;1;Reality;English;2021-03-16;2023-04-27T17:33:17.694Z
Lost in Space;Science fiction;science-fiction;2023-04-27;1 season, 10 episodes;1;10;48–66 min.;48;66;Renewed;1;Drama;English;2021-03-16;2023-04-27T17:33:17.694Z
Club de Cuervos;Comedy-drama;comedy-drama;2023-04-27;4 seasons, 45 episodes;4;45;36–94 min.;36;94;Ended;0;ForeignLanguage;Spanish;2021-03-16;2023-04-27T17:33:17.694Z
